Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2011,Normal value,Units,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Percent,,80.3
2017,Normal value,Units,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Percent,,88.1
