Year,Value,SERIES
2010,73.8,_L_GH_070301_01
2013,68.7,_L_GH_070301_01
2014,68.2,_L_GH_070301_01
2015,69.7,_L_GH_070301_01
2016,67.5,_L_GH_070301_01
2017,61.4,_L_GH_070301_01
2018,68.2,_L_GH_070301_01
2019,65.8,_L_GH_070301_01
2020,72.2,_L_GH_070301_01
2021,71.8,_L_GH_070301_01
2010,58.7,_L_GH_070301_02
2013,54.3,_L_GH_070301_02
2014,53.5,_L_GH_070301_02
2015,54.4,_L_GH_070301_02
2016,52.1,_L_GH_070301_02
2017,48.4,_L_GH_070301_02
2018,49.2,_L_GH_070301_02
2019,47.8,_L_GH_070301_02
2020,51.1,_L_GH_070301_02
2021,54.2,_L_GH_070301_02
