Year,Value
2000,13.27925
2001,13.55671
2002,14.51648
2003,15.7731
2004,17.0599
2005,18.3754
2006,19.72045
2007,21.09455
2008,22.49754
2009,23.92815
2010,25.38766
2011,26.87477
2012,28.38889
2013,29.92901
2014,31.49485
2015,33.08617
2016,34.70269
2017,36.34375
2018,38.00905
2019,39.6979
2020,41.41045
