Year,Value,SERIES
2000,4.37,SH_SAN_SAFE
2001,4.43,SH_SAN_SAFE
2002,4.89,SH_SAN_SAFE
2003,5.35,SH_SAN_SAFE
2004,5.81,SH_SAN_SAFE
2005,6.28,SH_SAN_SAFE
2006,6.75,SH_SAN_SAFE
2007,7.22,SH_SAN_SAFE
2008,7.69,SH_SAN_SAFE
2009,8.16,SH_SAN_SAFE
2010,8.64,SH_SAN_SAFE
2011,9.11,SH_SAN_SAFE
2012,9.59,SH_SAN_SAFE
2013,10.06,SH_SAN_SAFE
2014,10.53,SH_SAN_SAFE
2015,11.0,SH_SAN_SAFE
2016,11.47,SH_SAN_SAFE
2017,11.94,SH_SAN_SAFE
2018,12.4,SH_SAN_SAFE
2019,12.87,SH_SAN_SAFE
2020,13.32,SH_SAN_SAFE
2017,41.3,_L_GH_060201_02
2018,41.4,_L_GH_060201_02
2019,41.5,_L_GH_060201_02
2020,41.5,_L_GH_060201_02
