Year,Value,SERIES
2017,0.79,_L_GH_070b01_01
2018,1.45,_L_GH_070b01_01
2019,1.42,_L_GH_070b01_01
2020,1.91,_L_GH_070b01_01
2021,3.64,_L_GH_070b01_01
