Year,Value,UNIT_MEASURE,SERIES
2016,0.35,IX,AG_PRD_ORTIND
2017,0.48,IX,AG_PRD_ORTIND
2018,0.49,IX,AG_PRD_ORTIND
2019,0.25,IX,AG_PRD_ORTIND
2020,0.19,IX,AG_PRD_ORTIND
2016,9.81,PT,AG_XPD_AGSGB
2017,10.06,PT,AG_XPD_AGSGB
2018,10.32,PT,AG_XPD_AGSGB
2016,22.6,PT,AG_PRD_AGVAS
2017,21.15,PT,AG_PRD_AGVAS
2018,19.65,PT,AG_PRD_AGVAS
