Year,Value,UNIT_MEASURE,SERIES
2015,61.0,PT,EN_H2O_WBAMBQ
2017,52.0,PT,EN_H2O_WBAMBQ
2018,55.9,PT,EN_H2O_WBAMBQ
2017,51.5,IX,_L_GH_060302_01
2018,55.9,IX,_L_GH_060302_01
2019,57.8,IX,_L_GH_060302_01
2020,56.5,IX,_L_GH_060302_01
2021,58.2,IX,_L_GH_060302_01
