Year,Value,UNIT_MEASURE,SERIES
2016,212919.0,NUMBER,_L_GH_010301_01
2020,334013.0,NUMBER,_L_GH_010301_01
2016,37.4,PT,_L_GH_010301_02
2020,73.2,PT,_L_GH_010301_02
2016,361771.0,NUMBER,_L_GH_010301_03
2020,1248432.0,NUMBER,_L_GH_010301_03
2016,38.4,PT,_L_GH_010301_04
2020,52.6,PT,_L_GH_010301_04
