Year,Value,UNIT_MEASURE,SERIES
2020-06,96.0,Percent,Children likely to go back to school after mobility restrictions are lifted - Primary/JHS
2020-06,98.0,Percent,Children likely to go back to school after mobility restrictions are lifted - Senior Secondary
2020-06,62.2,Percent,Children engaged in any type of learning activity - Primary/JHS
2020-06,72.0,Percent,Children engaged in any type of learning activity - Secondary
2020-09,97.1,Percent,Children likely to go back to school after mobility restrictions are lifted - Primary/JHS
2020-09,98.6,Percent,Children likely to go back to school after mobility restrictions are lifted - Senior Secondary
2020-09,71.3,Percent,Children engaged in any type of learning activity - Primary/JHS
2020-09,79.8,Percent,Children engaged in any type of learning activity - Secondary
