Year,Value,SERIES
2016,8301,_L_GH_030c01_01
2017,8100,_L_GH_030c01_01
2018,7196,_L_GH_030c01_01
2019,6899,_L_GH_030c01_01
2020,6355,_L_GH_030c01_01
2016,823,_L_GH_030c01_02
2017,779,_L_GH_030c01_02
2018,823,_L_GH_030c01_02
2019,727,_L_GH_030c01_02
2020,698,_L_GH_030c01_02
