Year,Value,SERIES
2015,7.6,SG_XPD_HLTH
2016,8.3,SG_XPD_HLTH
2017,12.3,SG_XPD_HLTH
2018,8.7,SG_XPD_HLTH
2015,19.5,SD_XPD_ESED
2016,20.0,SD_XPD_ESED
2017,23.5,SD_XPD_ESED
2018,24.4,SD_XPD_ESED
