Year,Value,SERIES
2017,98.8,IT_MOB_2GNTWK
2017,83.1,IT_MOB_3GNTWK
2018,98.8,IT_MOB_2GNTWK
2018,83.1,IT_MOB_3GNTWK
2019,98.1,IT_MOB_2GNTWK
2019,83.1,IT_MOB_3GNTWK
2020,96.9,IT_MOB_2GNTWK
2020,95.8,IT_MOB_3GNTWK
2020,67.7,IT_MOB_4GNTWK
2021,96.9,IT_MOB_2GNTWK
2021,95.8,IT_MOB_3GNTWK
2021,67.7,IT_MOB_4GNTWK
