Year,SERIES,Value
2017,IT_MOB_2GNTWK,98.8
2017,IT_MOB_3GNTWK,83.1
2018,IT_MOB_2GNTWK,98.8
2018,IT_MOB_3GNTWK,83.1
2019,IT_MOB_2GNTWK,98.8
2019,IT_MOB_3GNTWK,83.1
2020,IT_MOB_2GNTWK,96.9
2020,IT_MOB_3GNTWK,95.8
2020,IT_MOB_4GNTWK,67.7
2021,IT_MOB_2GNTWK,96.9
2021,IT_MOB_3GNTWK,95.8
2021,IT_MOB_4GNTWK,67.7
