Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2013,A,0,_L_GH_060402_01,,_L_GH_M3PPY,,1976
2014,A,0,_L_GH_060402_01,,_L_GH_M3PPY,,1942
2015,A,0,_L_GH_060402_01,,_L_GH_M3PPY,,1928
2016,A,0,_L_GH_060402_01,,_L_GH_M3PPY,,1927
2017,A,0,_L_GH_060402_01,,_L_GH_M3PPY,,1926
2018,A,0,_L_GH_060402_01,,_L_GH_M3PPY,,1922
2019,A,0,_L_GH_060402_01,,_L_GH_M3PPY,,1918
2020,A,0,_L_GH_060402_01,,_L_GH_M3PPY,,1916
