Indicator
#1-2-2
#1-a-1
#10-3-1
#10-7-1
#10-7-4
#13-2-2
#14-5-1
#16-5-1
#16-a-1
#16-b-1
#3-1-2
#3-d-1
#4-1-1
#4-3-1
#4-a-1
#4-c-1
#5-2-1
#5-a-1
#6-2-1
#6-3-1
#9-1-2
#9-4-1
