Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-2-1,1
#1-4-2,102
#10-7-1,8
#16-1-3,5
#16-1-4,1
#17-8-1,1
#2-2-1,2
#4-1-1,18
#4-2-2,1
#4-3-1,3
#4-6-1,6
#5-2-1,6
#5-4-1,1
#5-a-1,4
#5-b-1,2
#8-3-1,17
#8-5-1,2
#8-5-2,4
#8-6-1,1
#8-7-1,2
#9-2-2,17
