Indicator
#1-1-1
#1-2-1
#1-2-2
#1-4-2
#10-3-1
#16-b-1
#2-1-2
#3-1-2
#3-4-2
#4-2-2
#4-5-1
#7-1-1
#7-1-2
#8-3-1
#9-2-2
