Value,en,Disaggregation combinations using this value,Number of indicators
11 years old and over,11 years old and over,4,1
15 to 24 years old,15 to 24 years old,5,1
15 years old and over,15 years old and over,4,1
6 years old and over,6 years old and over,4,1
under 18 years old,under 18 years old,8,1
