Indicator
#1-2-2
#1-3-1
#1-4-2
#11-1-1
#16-1-3
#16-5-2
#16-a-1
#17-3-1
#2-1-2
#2-2-2
#2-a-1
#3-1-1
#3-3-1
#3-c-1
#3-d-1
#4-2-1
#4-3-1
#4-a-1
#5-2-1
#5-3-1
#5-5-1
#5-b-1
#6-2-1
#7-3-1
#8-10-1
#8-10-2
#8-7-1
#8-9-1
#9-1-2
#9-2-1
#9-c-1
