Indicator
#1-1-1
#1-2-1
#1-2-2
#1-3-1
#1-4-2
#1-5-1
#1-5-3
#1-a-1
#1-b-1
#10-1-1
#10-3-1
#10-4-1
#10-7-1
#10-7-2
#10-7-4
#11-1-1
#11-5-1
#11-6-1
#11-6-2
#11-b-1
#12-1-1
#12-3-1
#12-a-1
#13-1-1
#13-1-2
#13-2-1
#13-2-2
#13-3-1
#14-1-1
#14-4-1
#14-5-1
#14-6-1
#14-b-1
#14-c-1
#15-1-1
#15-2-1
#15-3-1
#15-5-1
#15-8-1
#15-9-1
#16-1-1
#16-1-3
#16-1-4
#16-10-2
#16-3-1
#16-3-2
#16-4-2
#16-5-1
#16-5-2
#16-6-1
#16-9-1
#16-a-1
#16-b-1
#17-1-1
#17-1-2
#17-18-2
#17-18-3
#17-19-2
#17-3-1
#17-3-2
#17-4-1
#17-6-1
#17-8-1
#2-1-2
#2-2-1
#2-2-2
#2-a-1
#2-a-2
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-3-1
#3-3-2
#3-3-3
#3-4-2
#3-6-1
#3-7-1
#3-7-2
#3-c-1
#3-d-1
#4-1-1
#4-1-2
#4-2-1
#4-2-2
#4-3-1
#4-5-1
#4-6-1
#4-a-1
#4-c-1
#5-1-1
#5-2-1
#5-3-1
#5-3-2
#5-4-1
#5-5-1
#5-6-2
#5-a-1
#5-b-1
#5-c-1
#6-1-1
#6-2-1
#6-3-1
#6-3-2
#6-4-2
#6-5-1
#6-5-2
#7-1-1
#7-1-2
#7-2-1
#7-3-1
#7-b-1
#8-1-1
#8-10-1
#8-10-2
#8-3-1
#8-5-1
#8-5-2
#8-6-1
#8-7-1
#8-8-2
#8-9-1
#8-b-1
#9-1-2
#9-2-1
#9-2-2
#9-4-1
#9-5-1
#9-c-1
