Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-2-1,1
#1-2-2,1
#1-4-2,102
#16-1-4,1
#16-3-1,1
#17-6-1,1
#17-8-1,1
#2-1-2,2
#2-2-1,2
#3-1-2,11
#3-4-2,17
#4-1-1,6
#4-2-1,4
#4-6-1,6
#5-3-2,1
#5-4-1,1
#5-b-1,2
#6-1-1,5
#6-2-1,6
#6-3-1,4
#7-1-1,17
#7-1-2,17
#8-5-2,3
#8-7-1,2
#9-2-2,17
