Indicator
#1-1-1
#1-2-2
#1-3-1
#1-4-2
#1-a-1
#10-3-1
#10-7-1
#11-6-2
#14-4-1
#14-6-1
#16-1-3
#16-1-4
#16-3-1
#16-5-1
#16-9-1
#16-b-1
#17-6-1
#2-1-2
#3-1-2
#3-4-2
#4-1-1
#4-2-1
#4-2-2
#4-6-1
#5-2-1
#5-3-1
#5-3-2
#5-4-1
#5-5-1
#5-a-1
#5-b-1
#6-3-1
#8-7-1
