Value,Number of indicators
Band,1
Centimetre(s),1
Ghana Cedi,1
Index,2
kg CO2 equivalent per constant 2010 GDP $,1
m3/per person/year,1
Metric Tonnes of CO2-equivalent,1
Million mobile money accounts,1
Minute(s),1
Number,1
"Per 1,000 live births",2
"Per 1,000 population",1
"Per 100,000 live births",1
"Per 100,000 population",9
Percentage (%),63
Percentage(%),2
Plastic count per square kilometer,1
Ratio,1
Score,1
TOE/million US$,1
Watts per capita,2
µg/m³,1
