Indicator
#1-5-3
#10-7-2
#11-b-1
#12-1-1
#13-1-2
#13-2-1
#13-3-1
#14-b-1
#14-c-1
#15-2-1
#15-8-1
#15-9-1
#16-10-2
#17-18-2
#17-18-3
#17-19-2
#5-1-1
#5-6-2
#5-c-1
#6-5-2
#8-8-2
#8-b-1
