Indicator
#1-1-1
#1-2-1
#1-4-2
#10-7-1
#16-1-3
#16-1-4
#17-8-1
#2-2-1
#4-1-1
#4-2-2
#4-3-1
#4-6-1
#5-2-1
#5-4-1
#5-a-1
#5-b-1
#8-3-1
#8-5-1
#8-5-2
#8-6-1
#8-7-1
#9-2-2
