Value,en,Disaggregation combinations using this value,Number of indicators
Ghana Cedi,Ghana Cedi,1,1
Index,Index,1,1
million tonnes,million tonnes,1,1
Number,Number,33,6
"Per 1,000 uninfected population","Per 1,000 uninfected population",1,1
Percentage (%),Percentage (%),10,6
Rank,Rank,1,1
Score,Score,1,1
Tonnes,Tonnes,4,1
