Value,en,Disaggregation combinations using this value,Number of indicators
_L_GH_JHS,Junior High School (JHS),28,4
_L_GH_Primary_4,Primary 4,12,1
_L_GH_Primary_6,Primary 6,12,1
_L_GH_SecTech,Senior High Technical School,7,1
_L_GH_SHS,Senior High School (SHS),13,2
ISCED11_0,Early childhood education,4,1
ISCED11_02,Pre-primary education,15,2
ISCED11_1,Primary education,15,2
ISCED11_10,Primary education,1,1
ISCED11_25_35_45,Vocational secondary education,10,1
