Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2016,A,0,SG_GEN_PARL,,F,PT,,12.7
2017,A,0,SG_GEN_PARL,,F,PT,,13.4
2019,A,0,SG_GEN_PARL,,F,PT,,13.8
2016,A,0,SG_GEN_LOCGELS,,F,PT,,5.0
2017,A,0,SG_GEN_LOCGELS,,F,PT,,5.0
2019,A,0,SG_GEN_LOCGELS,,F,PT,,3.2
2016,A,0,_L_GH_050501_01,,F,PT,,10.3
2017,A,0,_L_GH_050501_01,,F,PT,,14.8
2019,A,0,_L_GH_050501_01,,F,PT,,14.8
