Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2017,A,0,IT_MOB_OWN,,,,PT,,63.8
2017,A,0,IT_MOB_OWN,,,U,PT,,74.4
2017,A,0,IT_MOB_OWN,,,R,PT,,51.8
2017,A,0,IT_MOB_OWN,,M,,PT,,68.4
2017,A,0,IT_MOB_OWN,,F,,PT,,59.6
2017,A,0,_L_GH_050b01_01,,,,PT,,74.3
2017,A,0,_L_GH_050b01_01,,,U,PT,,83.1
2017,A,0,_L_GH_050b01_01,,,R,PT,,64.5
2017,A,0,_L_GH_050b01_01,,M,,PT,,76.9
2017,A,0,_L_GH_050b01_01,,F,,PT,,72.0
