Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,A,0,SG_XPD_HLTH,,PT,,7.6
2016,A,0,SG_XPD_HLTH,,PT,,8.3
2017,A,0,SG_XPD_HLTH,,PT,,12.3
2018,A,0,SG_XPD_HLTH,,PT,,8.7
2015,A,0,SD_XPD_ESED,,PT,,19.5
2016,A,0,SD_XPD_ESED,,PT,,20.0
2017,A,0,SD_XPD_ESED,,PT,,23.5
2018,A,0,SD_XPD_ESED,,PT,,24.4
