Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,A,0,EN_ATM_PM25,03_o,GPERM3,03_o,266
2017,A,0,EN_ATM_PM25,03_o,GPERM3,03_o,265
