Year,COMPOSITE_BREAKDOWN,Value
2017,,39.1
2017,COTE D'IVOIRE,23.1
2017,TOGO,11.8
2017,LIBERIA,4.2
2018,,36.3
2018,COTE D'IVOIRE,22.2
2018,TOGO,11.6
2018,LIBERIA,2.5
2019,,35.4
2019,COTE D'IVOIRE,21.5
2019,TOGO,11.4
2019,LIBERIA,2.4
2020,,34.2
2020,COTE D'IVOIRE,20.7
2020,TOGO,11.2
2020,LIBERIA,2.2
2021,,34.2
2021,COTE D'IVOIRE,20.8
2021,TOGO,11.2
2021,LIBERIA,2.2
