Year,Degree of urbanisation,COMPOSITE_BREAKDOWN,Value
2017,Urban,No facility (bush/beach/field),5.9
2017,Rural,No facility (bush/beach/field),29.0
2017,Urban,Water Closet (WC),28.6
2017,Rural,Water Closet (WC),4.5
2017,Urban,Pit Latrine,13.6
2017,Rural,Pit Latrine,27.2
2017,Urban,Kumasi Ventilated Improved Pit (KVIP),15.4
2017,Rural,Kumasi Ventilated Improved Pit (KVIP),11.9
2017,Urban,Bucket/Pan,0.4
2017,Rural,Bucket/Pan,0.2
2017,Urban,Public Toilet,36.2
2017,Rural,Public Toilet,27.2
