Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2019,A,0,_L_GH_110601,,PT,,80
2018,A,0,_L_GH_110601,,PT,,80
2017,A,0,_L_GH_110601,,PT,,70
