Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2018,A,0,VC_ARM_SZTRACE,,NUMBER,,2892
2020,A,0,VC_ARM_SZTRACE,,NUMBER,,1194
2021,A,0,VC_ARM_SZTRACE,,NUMBER,,1300
