Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2013,A,0,VC_PRR_PHYV,,,PT,,27.7
2017,A,0,VC_PRR_PHYV,,,PT,,30.5
2013,A,0,VC_PRR_PHYV,,U,PT,,30.6
2017,A,0,VC_PRR_PHYV,,U,PT,,32.6
2013,A,0,VC_PRR_PHYV,,R,PT,,24.0
2017,A,0,VC_PRR_PHYV,,R,PT,,27.9
