Year,COMPOSITE_BREAKDOWN,Value
2015,_L_GH_POLICE,64
2015,_L_GH_GOVOFF,53
2015,_L_GH_JUGMAG,49
2019,_L_GH_POLICE,59
2019,_L_GH_GOVOFF,35
2019,_L_GH_JUGMAG,38
