Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2013,A,0,_L_GH_100101_01,,PT,,12.5
2017,A,0,_L_GH_100101_01,,PT,,22.0
