From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,AGE
UNIT_MULT,COMMENT_OBS
COMMENT_OBS,REF_AREA
AGE,COMPOSITE_BREAKDOWN
COMMENT_OBS,URBANISATION
