Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2020,Normal value,Units,Plastic debris density [14.1.1(b)],,Square kilometers,,152134672
2019,Normal value,Units,Plastic debris density [14.1.1(b)],,Square kilometers,,179760103
2017,Normal value,Units,Plastic debris density [14.1.1(b)],,Square kilometers,,56875108
2016,Normal value,Units,Plastic debris density [14.1.1(b)],,Square kilometers,,33579283
