Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2019,Normal value,Units,Proportion of urban solid waste regularly collected,,Percent,,80
2018,Normal value,Units,Proportion of urban solid waste regularly collected,,Percent,,80
2017,Normal value,Units,Proportion of urban solid waste regularly collected,,Percent,,70
