Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Normal value,Units,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,,18.2
2016,Normal value,Units,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,,17.8
2017,Normal value,Units,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,,13.6
2018,Normal value,Units,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,,13.1
