Year,SERIES,COMPOSITE_BREAKDOWN,Value
2017,"Installed renewable�electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,0.79
2018,"Installed renewable�electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,1.45
2019,"Installed renewable�electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,1.42
2020,"Installed renewable�electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,1.91
2021,"Installed renewable�electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,3.64
2021,Grid electricity supply by generation type,Type of renewable technology: Hydropower,65.3
2021,Grid electricity supply by generation type,Type of renewable technology: Geothermal energy,0.6
2021,Grid electricity supply by generation type,Type of renewable technology: Multiple renewables,34.1
