Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Percent,,0.25
2017,Normal value,Units,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Percent,,0.08
2018,Normal value,Units,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Percent,,2.57
2019,Normal value,Units,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Percent,,0.12
