Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,49.6
2017,Normal value,Units,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,63.2
2018,Normal value,Units,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,64.3
2019,Normal value,Units,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,75.6
