Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2003,A,0,SH_DYN_NMRT,,PER_1000_LIVE_BIRTHS,,43
2008,A,0,SH_DYN_NMRT,,PER_1000_LIVE_BIRTHS,,30
2014,A,0,SH_DYN_NMRT,,PER_1000_LIVE_BIRTHS,,29
2017,A,0,SH_DYN_NMRT,,PER_1000_LIVE_BIRTHS,,27
