Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,AGE,UNIT_MEASURE,GeoCode,Value
2016,A,0,FB_BNK_ACCSS,,Y_GE15,PT,,113.3
2017,A,0,FB_BNK_ACCSS,,Y_GE15,PT,,134.0
2018,A,0,FB_BNK_ACCSS,,Y_GE15,PT,,177.7
2019,A,0,FB_BNK_ACCSS,,Y_GE15,PT,,173.1
