Year,SERIES,UNIT_MEASURE,Value
2016,Manufacturing value added as a proportion of GDP [9.2.1],Percent,11.2
2017,Manufacturing value added as a proportion of GDP [9.2.1],Percent,10.46
2018,Manufacturing value added as a proportion of GDP [9.2.1],Percent,10.46
2016,Manufacturing value added per capita [9.2.1],Local currency,845.05
2017,Manufacturing value added per capita [9.2.1],Local currency,927.61
2018,Manufacturing value added per capita [9.2.1],Local currency,1061.67
