Year,COMPOSITE_BREAKDOWN,Value
2017,,39.1
2017,CI,23.1
2017,TG,11.8
2017,LR,4.2
2018,,36.3
2018,CI,22.2
2018,TG,11.6
2018,LR,2.5
2019,,35.4
2019,CI,21.5
2019,TG,11.4
2019,LR,2.4
2020,,34.2
2020,CI,20.7
2020,TG,11.2
2020,LR,2.2
2021,,34.2
2021,CI,20.8
2021,TG,11.2
2021,LR,2.2
