Year,SERIES,REF_AREA,SEX,URBANISATION,GeoCode,Value
2018,SP_LGL_LNDDOC,10,F,R,10,5.3
2018,SP_LGL_LNDDOC,11,,,11,6.2
2018,SP_LGL_LNDDOC,11,M,,11,6.4
2018,SP_LGL_LNDDOC,11,F,,11,5.9
2018,SP_LGL_LNDDOC,11,,U,11,6.4
2018,SP_LGL_LNDDOC,11,M,U,11,6.4
2018,SP_LGL_LNDDOC,11,F,U,11,6.6
2018,SP_LGL_LNDDOC,11,,R,11,6.2
2018,SP_LGL_LNDDOC,11,M,R,11,6.4
2018,SP_LGL_LNDDOC,11,F,R,11,5.7
2018,SP_LGL_LNDDOC,12,,,12,2.9
2018,SP_LGL_LNDDOC,12,M,,12,3.1
2018,SP_LGL_LNDDOC,12,F,,12,1.7
2018,SP_LGL_LNDDOC,12,,U,12,4.3
2018,SP_LGL_LNDDOC,12,M,U,12,4.2
2018,SP_LGL_LNDDOC,12,F,U,12,4.6
2018,SP_LGL_LNDDOC,12,,R,12,2.5
2018,SP_LGL_LNDDOC,12,M,R,12,2.8
2018,SP_LGL_LNDDOC,12,F,R,12,1.4
2018,SP_LGL_LNDDOC,13,,,13,2.0
2018,SP_LGL_LNDDOC,13,M,,13,2.1
2018,SP_LGL_LNDDOC,13,F,,13,1.2
2018,SP_LGL_LNDDOC,13,,U,13,2.4
2018,SP_LGL_LNDDOC,13,M,U,13,2.3
2018,SP_LGL_LNDDOC,13,F,U,13,3.3
2018,SP_LGL_LNDDOC,13,,R,13,1.9
2018,SP_LGL_LNDDOC,13,M,R,13,2.1
2018,SP_LGL_LNDDOC,13,F,R,13,0.9
2018,SP_LGL_LNDDOC,14,,,14,1.5
2018,SP_LGL_LNDDOC,14,M,,14,1.6
2018,SP_LGL_LNDDOC,14,F,,14,0.6
2018,SP_LGL_LNDDOC,14,,U,14,2.8
2018,SP_LGL_LNDDOC,14,M,U,14,3.0
2018,SP_LGL_LNDDOC,14,F,U,14,1.7
2018,SP_LGL_LNDDOC,14,,R,14,1.1
2018,SP_LGL_LNDDOC,14,M,R,14,1.3
2018,SP_LGL_LNDDOC,14,F,R,14,0.4
2018,SP_LGL_LNDDOC,15,,,15,2.9
2018,SP_LGL_LNDDOC,15,M,,15,3.2
2018,SP_LGL_LNDDOC,15,F,,15,2.1
2018,SP_LGL_LNDDOC,15,,U,15,8.4
2018,SP_LGL_LNDDOC,15,M,U,15,9.3
2018,SP_LGL_LNDDOC,15,F,U,15,5.6
2018,SP_LGL_LNDDOC,15,,R,15,2.1
2018,SP_LGL_LNDDOC,15,M,R,15,2.3
2018,SP_LGL_LNDDOC,15,F,R,15,1.8
2018,SP_LGL_LNDDOC,16,,,16,3.7
2018,SP_LGL_LNDDOC,16,M,,16,3.8
2018,SP_LGL_LNDDOC,16,F,,16,3.1
2018,SP_LGL_LNDDOC,16,,U,16,13.3
2018,SP_LGL_LNDDOC,16,M,U,16,13.1
2018,SP_LGL_LNDDOC,16,F,U,16,14.1
2018,SP_LGL_LNDDOC,16,,R,16,2.7
2018,SP_LGL_LNDDOC,16,M,R,16,2.9
2018,SP_LGL_LNDDOC,16,F,R,16,1.9
2018,SP_LGL_LNDSEC,,,,,67.5
2018,SP_LGL_LNDSEC,,M,,,67.2
2018,SP_LGL_LNDSEC,,F,,,68.1
2018,SP_LGL_LNDSEC,,,U,,59.5
2018,SP_LGL_LNDSEC,,M,U,,58.6
2018,SP_LGL_LNDSEC,,F,U,,61.7
2018,SP_LGL_LNDSEC,,,R,,69.9
2018,SP_LGL_LNDSEC,,M,R,,69.8
2018,SP_LGL_LNDSEC,,F,R,,70.2
2018,SP_LGL_LNDSEC,1,,,1,61.9
2018,SP_LGL_LNDSEC,1,M,,1,61.3
2018,SP_LGL_LNDSEC,1,F,,1,63.4
2018,SP_LGL_LNDSEC,1,,U,1,53.5
2018,SP_LGL_LNDSEC,1,M,U,1,52.4
2018,SP_LGL_LNDSEC,1,F,U,1,55.7
2018,SP_LGL_LNDSEC,1,,R,1,63.5
2018,SP_LGL_LNDSEC,1,M,R,1,62.9
2018,SP_LGL_LNDSEC,1,F,R,1,65.0
2018,SP_LGL_LNDSEC,2,,,2,53.6
2018,SP_LGL_LNDSEC,2,M,,2,52.6
2018,SP_LGL_LNDSEC,2,F,,2,55.6
2018,SP_LGL_LNDSEC,2,,U,2,50.4
2018,SP_LGL_LNDSEC,2,M,U,2,48.7
2018,SP_LGL_LNDSEC,2,F,U,2,53.5
2018,SP_LGL_LNDSEC,2,,R,2,54.6
2018,SP_LGL_LNDSEC,2,M,R,2,53.8
2018,SP_LGL_LNDSEC,2,F,R,2,56.3
2018,SP_LGL_LNDSEC,3,,,3,47.3
2018,SP_LGL_LNDSEC,3,M,,3,45.9
2018,SP_LGL_LNDSEC,3,F,,3,51.6
2018,SP_LGL_LNDSEC,3,,U,3,46.7
2018,SP_LGL_LNDSEC,3,M,U,3,45.2
2018,SP_LGL_LNDSEC,3,F,U,3,52.0
2018,SP_LGL_LNDSEC,3,,R,3,48.0
2018,SP_LGL_LNDSEC,3,M,R,3,46.7
2018,SP_LGL_LNDSEC,3,F,R,3,51.3
2018,SP_LGL_LNDSEC,4,,,4,64.7
2018,SP_LGL_LNDSEC,4,M,,4,62.6
2018,SP_LGL_LNDSEC,4,F,,4,68.1
2018,SP_LGL_LNDSEC,4,,U,4,43.5
2018,SP_LGL_LNDSEC,4,M,U,4,41.4
2018,SP_LGL_LNDSEC,4,F,U,4,47.4
2018,SP_LGL_LNDSEC,4,,R,4,70.0
2018,SP_LGL_LNDSEC,4,M,R,4,68.3
2018,SP_LGL_LNDSEC,4,F,R,4,72.7
2018,SP_LGL_LNDSEC,5,,,5,48.5
2018,SP_LGL_LNDSEC,5,M,,5,46.6
2018,SP_LGL_LNDSEC,5,F,,5,53.2
2018,SP_LGL_LNDSEC,5,,U,5,49.8
2018,SP_LGL_LNDSEC,5,M,U,5,47.0
2018,SP_LGL_LNDSEC,5,F,U,5,56.2
2018,SP_LGL_LNDSEC,5,,R,5,48.0
2018,SP_LGL_LNDSEC,5,M,R,5,46.5
2018,SP_LGL_LNDSEC,5,F,R,5,52.0
2018,SP_LGL_LNDSEC,6,,,6,59.0
2018,SP_LGL_LNDSEC,6,M,,6,54.9
2018,SP_LGL_LNDSEC,6,F,,6,67.1
2018,SP_LGL_LNDSEC,6,,U,6,53.4
2018,SP_LGL_LNDSEC,6,M,U,6,48.7
2018,SP_LGL_LNDSEC,6,F,U,6,61.8
2018,SP_LGL_LNDSEC,6,,R,6,60.8
2018,SP_LGL_LNDSEC,6,M,R,6,56.8
2018,SP_LGL_LNDSEC,6,F,R,6,69.0
2018,SP_LGL_LNDSEC,7,,,7,69.4
2018,SP_LGL_LNDSEC,7,M,,7,67.6
2018,SP_LGL_LNDSEC,7,F,,7,74.2
2018,SP_LGL_LNDSEC,7,,U,7,72.1
2018,SP_LGL_LNDSEC,7,M,U,7,70.4
2018,SP_LGL_LNDSEC,7,F,U,7,75.4
2018,SP_LGL_LNDSEC,7,,R,7,68.9
2018,SP_LGL_LNDSEC,7,M,R,7,67.1
2018,SP_LGL_LNDSEC,7,F,R,7,73.9
