Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
1998,A,0,SH_FPL_MTMM,,PT,,22.0
2003,A,0,SH_FPL_MTMM,,PT,,25.2
2008,A,0,SH_FPL_MTMM,,PT,,23.5
2014,A,0,SH_FPL_MTMM,,PT,,26.7
2017,A,0,SH_FPL_MTMM,,PT,,42.0
