Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,AGE,UNIT_MEASURE,GeoCode,Value
2011,A,0,SG_REG_BRTH,,Y0T4,PT,,63
2017,A,0,SG_REG_BRTH,,Y0T4,PT,,71
