Year,SERIES,SEX,Value
2014,_L_GH_080501_01,,495.47
2014,_L_GH_080501_01,M,592.64
2014,_L_GH_080501_01,F,395.48
2015,_L_GH_080501_01,,898.65
2015,_L_GH_080501_01,M,1011.13
2015,_L_GH_080501_01,F,715.22
2017,_L_GH_080501_01,,972.0
2017,_L_GH_080501_01,M,1106.0
2017,_L_GH_080501_01,F,679.0
2015,SL_EMP_EARN,,5.62
2015,SL_EMP_EARN,M,6.32
2015,SL_EMP_EARN,F,4.47
2017,SL_EMP_EARN,,6.08
2017,SL_EMP_EARN,M,6.91
2017,SL_EMP_EARN,F,4.24
