Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,A,0,ER_RSK_LST,,IX,,0.9
2017,A,0,ER_RSK_LST,,IX,,0.9
2018,A,0,ER_RSK_LST,,IX,,0.9
2019,A,0,ER_RSK_LST,,IX,,1.0
