Year,SERIES,UNIT_MEASURE,Value
2016,_L_GH_010301_01,NUMBER,212919.0
2020,_L_GH_010301_01,NUMBER,334013.0
2016,_L_GH_010301_02,PT,37.4
2020,_L_GH_010301_02,PT,73.2
2016,_L_GH_010301_03,NUMBER,361771.0
2020,_L_GH_010301_03,NUMBER,1248432.0
2016,_L_GH_010301_04,PT,38.4
2020,_L_GH_010301_04,PT,52.6
