Year,PRODUCT,Value
2020,_L_GH_ROUSAR,17.7
2020,_L_GH_FLATSAR,16.2
2020,_L_GH_CHUBMACK,20.2
2020,_L_GH_EUROANC,9.1
2020,_L_GH_BURRITTO,13.4
2020,_L_GH_REDPAN,16.2
2020,_L_GH_CASFISH,21.7
2020,_L_GH_REDMUL,17.5
2020,_L_GH_ANGDEN,20.3
