Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2011,A,0,SE_PRE_PARTN,,PT,,80.3
2017,A,0,SE_PRE_PARTN,,PT,,88.1
