Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2016,_L_GH_160a01_01,_L_GH_TotHuRiCom,PT,8.6
2016,_L_GH_160a01_01,_L_GH_TotRes,PT,8.2
2017,_L_GH_160a01_01,_L_GH_TotHuRiCom,PT,11.9
2017,_L_GH_160a01_01,_L_GH_TotRes,PT,8.9
2018,_L_GH_160a01_01,_L_GH_TotHuRiCom,PT,9.0
2018,_L_GH_160a01_01,_L_GH_TotRes,PT,8.7
2019,_L_GH_160a01_01,_L_GH_TotHuRiCom,PT,8.4
2019,_L_GH_160a01_01,_L_GH_TotRes,PT,8.4
2020,_L_GH_160a01_01,_L_GH_TotHuRiCom,PT,7.5
2020,_L_GH_160a01_01,_L_GH_TotRes,PT,7.3
2016,_L_GH_160a01_02,_L_GH_CHILDRIGHTS,NUMBER,3227.0
2017,_L_GH_160a01_02,_L_GH_CHILDRIGHTS,NUMBER,3099.0
2018,_L_GH_160a01_02,_L_GH_CHILDRIGHTS,NUMBER,3143.0
2019,_L_GH_160a01_02,_L_GH_CHILDRIGHTS,NUMBER,2940.0
2020,_L_GH_160a01_02,_L_GH_CHILDRIGHTS,NUMBER,2340.0
2016,_L_GH_160a01_02,_L_GH_ECOSOCCULRIGHTS,NUMBER,2444.0
2017,_L_GH_160a01_02,_L_GH_ECOSOCCULRIGHTS,NUMBER,2566.0
2018,_L_GH_160a01_02,_L_GH_ECOSOCCULRIGHTS,NUMBER,2888.0
2019,_L_GH_160a01_02,_L_GH_ECOSOCCULRIGHTS,NUMBER,2759.0
2020,_L_GH_160a01_02,_L_GH_ECOSOCCULRIGHTS,NUMBER,2545.0
2016,_L_GH_160a01_02,_L_GH_PRORIGHTS,NUMBER,1320.0
2017,_L_GH_160a01_02,_L_GH_PRORIGHTS,NUMBER,1473.0
2018,_L_GH_160a01_02,_L_GH_PRORIGHTS,NUMBER,1540.0
2019,_L_GH_160a01_02,_L_GH_PRORIGHTS,NUMBER,1362.0
2020,_L_GH_160a01_02,_L_GH_PRORIGHTS,NUMBER,1411.0
2016,_L_GH_160a01_02,_L_GH_WORIGHTS,NUMBER,1089.0
2017,_L_GH_160a01_02,_L_GH_WORIGHTS,NUMBER,1152.0
2018,_L_GH_160a01_02,_L_GH_WORIGHTS,NUMBER,1088.0
2019,_L_GH_160a01_02,_L_GH_WORIGHTS,NUMBER,970.0
2020,_L_GH_160a01_02,_L_GH_WORIGHTS,NUMBER,934.0
2016,_L_GH_160a01_02,_L_GH_CIVPOLRIGHTS,NUMBER,474.0
2017,_L_GH_160a01_02,_L_GH_CIVPOLRIGHTS,NUMBER,478.0
2018,_L_GH_160a01_02,_L_GH_CIVPOLRIGHTS,NUMBER,381.0
2019,_L_GH_160a01_02,_L_GH_CIVPOLRIGHTS,NUMBER,348.0
2020,_L_GH_160a01_02,_L_GH_CIVPOLRIGHTS,NUMBER,293.0
