Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2012,Normal value,Units,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,,4.7
2013,Normal value,Units,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,,3.8
2014,Normal value,Units,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,,5.2
2015,Normal value,Units,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,,6.6
2016,Normal value,Units,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,,3.4
2017,Normal value,Units,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,,5.5
2018,Normal value,Units,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,,3.9
2019,Normal value,Units,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,,3.8
