Year,SEX,COMPOSITE_BREAKDOWN,Value
2018,,_L_GH_NODOC,82.6
2018,M,_L_GH_NODOC,82.2
2018,F,_L_GH_NODOC,83.5
2018,,_L_GH_COMPDOC,12.9
2018,M,_L_GH_COMPDOC,13.1
2018,F,_L_GH_COMPDOC,12.1
2018,,_L_GH_PARTIAL,3.2
2018,M,_L_GH_PARTIAL,3.3
2018,F,_L_GH_PARTIAL,3.1
2018,,_L_GH_PROCESS,1.3
2018,M,_L_GH_PROCESS,1.4
2018,F,_L_GH_PROCESS,1.2
