Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2017,Normal value,Units,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Percent,,0.79
2018,Normal value,Units,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Percent,,1.45
2019,Normal value,Units,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Percent,,1.42
2020,Normal value,Units,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Percent,,1.91
2021,Normal value,Units,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]",,Percent,,3.64
