Year,SERIES,Value
2017,_L_GH_081002_01,23.9
2018,_L_GH_081002_01,32.6
2019,_L_GH_081002_01,32.5
2020,_L_GH_081002_01,38.5
2021,_L_GH_081002_01,48.3
2017,_L_GH_081002_02,11.1
2018,_L_GH_081002_02,13.1
2019,_L_GH_081002_02,14.5
2020,_L_GH_081002_02,17.1
2021,_L_GH_081002_02,17.9
