Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,A,0,DC_TOF_AGRL,,PT,,0.25
2017,A,0,DC_TOF_AGRL,,PT,,0.08
2018,A,0,DC_TOF_AGRL,,PT,,2.57
2019,A,0,DC_TOF_AGRL,,PT,,0.12
