Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,A,0,SH_TBS_INCD,,PER_1000_POP,,49.4
2017,A,0,SH_TBS_INCD,,PER_1000_POP,,47.5
2018,A,0,SH_TBS_INCD,,PER_1000_POP,,46.3
2019,A,0,SH_TBS_INCD,,PER_1000_POP,,48.5
2020,A,0,SH_TBS_INCD,,PER_1000_POP,,40.2
